experiment,algorithm,time_limit_seconds,lambda,objective,feasible,runtime_seconds,min_workload,max_workload,avg_workload,workload_range,workload_std,workloads
runtime,PDP,5.0,0.5,0.18383282397010092,True,21.504,0.15628380946692094,0.17998046275501667,0.1676851851851852,0.023696653288095726,0.009113574371747545,"[0.17998046275501667, 0.17994437793742307, 0.1619150676924517, 0.15628380946692094, 0.16577442258557867, 0.16221297067372006]"
runtime,SA,5.0,0.5,0.21375145557871866,True,17.778,0.11442047369928274,0.23370661486114103,0.19379629629629633,0.11928614116185829,0.0504106426546256,"[0.13154285027379015, 0.22945150186079927, 0.23370661486114103, 0.11442047369928274, 0.2303671106614779, 0.22328922642128674]"
runtime,PDP,10.0,0.5,0.1838260813900015,True,12.088,0.1609587167603397,0.177652162780003,0.17,0.0166934460196633,0.006965996783951396,"[0.16701720163926154, 0.1749543311304755, 0.1609587167603397, 0.16205248323631796, 0.177652162780003, 0.17736510445360226]"
runtime,SA,10.0,0.5,0.20689312985182626,True,2.387,0.1644748149442476,0.21813811155550436,0.19564814814814815,0.05366329661125677,0.020519954601358678,"[0.17240752105247298, 0.1644748149442476, 0.21813811155550436, 0.21108433879509947, 0.195691153238698, 0.21209294930286648]"
runtime,PDP,30.0,0.5,0.18146918236696968,True,32.965,0.15363876097979076,0.17432725362282825,0.16861111111111113,0.020688492643037487,0.007468683121849386,"[0.17390446958058955, 0.17432725362282825, 0.17094654723333091, 0.17406398077316548, 0.1647856544769617, 0.15363876097979076]"
runtime,SA,30.0,0.5,0.19796466075113522,True,3.395,0.15477361913083143,0.2087996918726408,0.18712962962962965,0.05402607274180937,0.02220083371250423,"[0.15963883182659644, 0.15477361913083143, 0.20558575961758235, 0.18833155891726872, 0.2056483164128581, 0.2087996918726408]"
runtime,PDP,60.0,0.5,0.18172827928982932,True,61.721,0.1588083185788639,0.17484544746854747,0.16861111111111113,0.01603712888968356,0.006314832349790558,"[0.1747127511357599, 0.17351897206765793, 0.1676563860905309, 0.17484544746854747, 0.1588083185788639, 0.1621247913253066]"
runtime,SA,60.0,0.5,0.20213808623881951,True,4.578,0.15521430163966382,0.21196135766282423,0.19231481481481483,0.05674705602316041,0.02234844831613436,"[0.15521430163966382, 0.1957655743826128, 0.21196135766282423, 0.21158409865608652, 0.16922199669030252, 0.2101415598573991]"
lambda,PDP,30,0.3,0.18113068589481576,True,34.933,0.15962327054075384,0.17484919989629943,0.16953703703703704,0.015225929355545592,0.004822424344965641,"[0.16985637974635281, 0.17484919989629943, 0.1702942114735059, 0.16954680980242015, 0.17305235076289016, 0.15962327054075384]"
lambda,SA,30,0.3,0.20045410348228565,True,2.885,0.15061198964901887,0.22506306099033493,0.1899074074074074,0.07445107134131607,0.024734671997549394,"[0.17240752105247298, 0.19882815977362017, 0.18170555285900766, 0.22506306099033493, 0.21082816011998984, 0.15061198964901887]"
lambda,PDP,30,0.5,0.18286748416543466,True,32.172,0.1546343507018842,0.17851274610864712,0.16722222222222224,0.023878395406762926,0.009135721504780519,"[0.15972465795120014, 0.17851274610864712, 0.1748729274563236, 0.16074320364673078, 0.17484544746854747, 0.1546343507018842]"
lambda,SA,30,0.5,0.21094802271614882,True,2.925,0.12861817841078518,0.23004419358044578,0.19185185185185186,0.1014260151696606,0.03596570685765757,"[0.1613202571961755, 0.19716664866155292, 0.22333209228432196, 0.21062974097782983, 0.12861817841078518, 0.23004419358044578]"
lambda,PDP,30,0.7,0.1837710001797865,True,32.596,0.15772834110192918,0.17538714311398068,0.17,0.0176588020120515,0.0058863625757977316,"[0.15772834110192918, 0.17055437264901754, 0.17117172066558495, 0.17515755795913984, 0.17538714311398068, 0.1700008645103478]"
lambda,SA,30,0.7,0.20768220916678384,True,2.783,0.13825925975226794,0.21549839404778645,0.18944444444444444,0.07723913429551851,0.026857040890482572,"[0.13825925975226794, 0.21549839404778645, 0.1941837201619617, 0.20648580324882307, 0.1722704669679198, 0.20996902248790772]"
lambda,PDP,30,0.9,0.184102587133295,True,116.216,0.15806525725496015,0.1747127511357599,0.16861111111111113,0.016647493880799752,0.006350762113373878,"[0.1747127511357599, 0.1744852322717509, 0.17351897206765793, 0.15806525725496015, 0.16271532579861553, 0.16816912813792234]"
lambda,SA,30,0.9,0.21359000473318887,True,2.388,0.16585299789710295,0.21615967604099176,0.19046296296296297,0.05030667814388881,0.017578291212546747,"[0.21615967604099176, 0.18021953825621478, 0.16585299789710295, 0.2078033072324194, 0.19499971514215497, 0.17774254320889396]"
